epoch,learning_rate,train_loss,train_background_classification_loss,train_background_tail_loss,train_target_keep_loss,train_pairwise_loss,train_shift_selectivity_loss,train_shift_regularization,train_background_shift_mean,train_target_shift_mean,val_loss,val_background_classification_loss,val_background_tail_loss,val_target_keep_loss,val_pairwise_loss,val_shift_selectivity_loss,val_shift_regularization,val_background_shift_mean,val_target_shift_mean,selected_threshold,selected_pd,selected_pfa,selected_auc,base_pd,base_pfa,raw_base_pd,pd_floor_satisfied,background_shift_mean,target_shift_mean,background_probability_mean,target_probability_mean
1,0.0005,1.7676970476731457,1.5047730355249904,0.23673673642854484,0.0,0.03125672242692057,0.039871245070368135,2.8274837106898065e-05,0.0053917710252628336,0.005069470221322341,2.305369253339145,2.297724472533159,0.000747037858798586,0.0,0.003245155799565057,0.012496701602278084,3.344666038174182e-05,0.005675853766831271,0.0018876047433340197,0.33652183413505554,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.0060011235345155,0.0051155604404520315,0.05494641641775767,0.05016021247742311
2,0.0005,1.7137091008800702,1.45217905340169,0.2357075780509617,0.0,0.0309338160260829,0.03927068469538843,3.735040764153666e-05,0.006569308063110733,0.004736575486284061,2.2168787760210447,2.2093841808072745,0.0007396328625420631,0.0,0.0032391278027313684,0.012213421572605377,4.578556680257301e-05,0.007030863626837143,0.0015921907756349136,0.33620190620422363,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.0074338566977530714,0.004331584712314718,0.06140741129716237,0.04686344745305349
3,0.0005,1.6549178660719222,1.392845213252579,0.23691163888838734,0.0,0.030378433401292225,0.0381696220196161,5.251255702315842e-05,0.008234838232136962,0.0036034582376058373,2.124072345716906,2.1167744639251618,0.0007295140198298863,0.0,0.0032311851167913727,0.011842846283184483,6.916639998460847e-05,0.0089350495432398,0.001239026734935753,0.33575519919395447,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.009446774926036596,0.0033916715523755214,0.0689620836575826,0.04158447486049724
4,0.0005,1.5880869716968176,1.330593348513395,0.2324853956779701,0.0,0.03263646910956124,0.03696023877659898,8.359805682301898e-05,0.01062596574265038,0.002873768048446294,2.026224810446571,2.019148441352721,0.000714967843934233,0.0,0.0032226325843134535,0.011431510812543295,0.00011574903819474891,0.011677251073527219,0.0010885529752288545,0.3351089060306549,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.012346291411668063,0.003021643681557111,0.07801345527172089,0.03944351552230007
5,0.0005,1.5247284614172265,1.2648397896167725,0.23614846620799074,0.0,0.0300659286209716,0.03545119167579152,0.00014378863942685142,0.014022196023009536,0.0023021911982587487,1.9227444033317378,1.9159565218563737,0.0006946575612270186,0.0,0.0032103152697896724,0.010898283549717494,0.0002021213005960826,0.015522230434887515,0.0009414173141947667,0.33420419692993164,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.01641182108471791,0.0026364913364028872,0.08884427453080813,0.036082495003938675
6,0.0005,1.4479415493834051,1.1988021726556866,0.2260675296950533,0.0,0.03151221890278622,0.03353375238630007,0.00025521729333198193,0.018795638367774672,0.0019087329245802526,1.8210897872710756,1.814682848953408,0.0006665472913845419,0.0,0.0031931453150481426,0.010196042178299627,0.0003657484938794996,0.02095043483038841,0.0008175035828513465,0.33294203877449036,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.022148806055386862,0.0023041654241991775,0.10095359901587168,0.03343900683212955
7,0.0005,1.388581360768115,1.1332254396937285,0.2336115094047351,0.0,0.031052547183158904,0.03105846532392052,0.00046469656671485247,0.025340842735775398,0.0015604783613937644,1.719416309735311,1.713497238242861,0.0006291172627745004,0.0,0.0031704497454788884,0.009298166030733456,0.0006699378340128864,0.02839784845342777,0.0007374674068038981,0.3312036395072937,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.030022082117696604,0.0020904679330206424,0.11469848290085792,0.030770883772451924
8,0.0005,1.3109828166241915,1.0673701120515398,0.22363411448393872,0.0,0.030398923230942367,0.027780120559739618,0.000872038107433148,0.034693752387864894,0.0013351984581887481,1.6155030568648736,1.6102421037999575,0.0005769197429929461,0.0,0.003138015716533943,0.008087417762267766,0.0012746043544234118,0.03920460217104757,0.0006860933195469268,0.32868680357933044,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.04144695835808913,0.001952369626005233,0.13063957492510478,0.027728386926201155
9,0.0005,1.2425767674921657,1.0008626862998922,0.2239782700962776,0.0,0.030235263471293322,0.023343648701263566,0.0016948356151309698,0.048422902932947855,0.001145936016682435,1.5119592853881456,1.5075721483622573,0.0005040270060741256,0.0,0.003093477834034436,0.006478400653218988,0.00252314592177436,0.05516453799355794,0.0007444013557006867,0.32499346137046814,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.05831767280896505,0.002145836138570646,0.14874796936909357,0.026010292353776266
10,0.0005,1.170547606810084,0.9349811441814803,0.22065587032516049,0.0,0.0301438445812769,0.017696608899718507,0.0033512717599897693,0.06820134031322767,0.0010704269279371897,1.4082719313136756,1.404962863828161,0.000409854750327876,0.0,0.00302770719152366,0.004486524412784671,0.005039855578468122,0.07800098945354593,0.0007816408944357499,0.31974318623542786,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.08246030767758687,0.0022482668732749823,0.1693084885676702,0.023498137253073027
