filename,filepath,read_success,has_h,has_v,h_shape,v_shape,h_dtype,v_dtype,h_is_complex,v_is_complex,h_has_nan,v_has_nan,h_has_inf,v_has_inf,shape_valid,data_valid,error
20260202_144816_beam4.mat,data/raw/IQ_Data/20260202_144816_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144816_beam5.mat,data/raw/IQ_Data/20260202_144816_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144825_beam1.mat,data/raw/IQ_Data/20260202_144825_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144825_beam2.mat,data/raw/IQ_Data/20260202_144825_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144825_beam3.mat,data/raw/IQ_Data/20260202_144825_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144825_beam4.mat,data/raw/IQ_Data/20260202_144825_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144825_beam5.mat,data/raw/IQ_Data/20260202_144825_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144833_beam1.mat,data/raw/IQ_Data/20260202_144833_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144833_beam2.mat,data/raw/IQ_Data/20260202_144833_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144833_beam3.mat,data/raw/IQ_Data/20260202_144833_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144833_beam4.mat,data/raw/IQ_Data/20260202_144833_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
